week,rank,title_name,platform_name,developer_name,title_id,platform_id,developer_id,title_url,platform_url,developer_url,genre,weekly_sales,total_sales,week_num
42778,50,ABZU,PS4,505 Games,83062,69,23,http://www.vgchartz.com/game/83062/abzu/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/23/505-games/,Adventure,Pro,N/A,2
42778,51,Gears of War 4,XOne,Microsoft Game Studios,85730,68,10313,http://www.vgchartz.com/game/85730/gears-of-war-4/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/10313/microsoft-game-studios/,Shooter,Pro,N/A,18
42778,52,Rise of the Tomb Raider,XOne,Square Enix,82908,68,1567,http://www.vgchartz.com/game/82908/rise-of-the-tomb-raider/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/1567/square-enix/,Adventure,Pro,N/A,66
42778,53,Battlefield 1,PC,Electronic Arts,110845,48,474,http://www.vgchartz.com/game/110845/battlefield-1/,http://www.vgchartz.com/platform/48/microsoft-windows/,http://www.vgchartz.com/companies/474/electronic-arts/,Shooter,Pro,N/A,17
42778,54,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Namco Bandai Games,84977,69,16527,http://www.vgchartz.com/game/84977/naruto-shippuden-ultimate-ninja-storm-4/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/16527/namco-bandai-games/,Fighting,Pro,N/A,53
42778,55,Lego Star Wars: The Force Awakens,XOne,Warner Bros. Interactive Entertainment,86461,68,15839,http://www.vgchartz.com/game/86461/lego-star-wars-the-force-awakens/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/15839/warner-bros-interactive-entertainment/,Action,Pro,N/A,33
42778,56,Rock Band 4,XOne,Harmonix Music Systems,85234,68,7457,http://www.vgchartz.com/game/85234/rock-band-4/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/7457/harmonix-music-systems/,Misc,Pro,N/A,71
42778,57,Luigi's Mansion: Dark Moon,3DS,Nintendo,51836,42,1167,http://www.vgchartz.com/game/51836/luigis-mansion-dark-moon/,http://www.vgchartz.com/platform/42/nintendo-3ds/,http://www.vgchartz.com/companies/1167/nintendo/,Action,Pro,N/A,203
42778,58,Dragon Quest VIII: Journey of the Cursed King,3DS,Square Enix,85894,42,1567,http://www.vgchartz.com/game/85894/dragon-quest-viii-journey-of-the-cursed-king/,http://www.vgchartz.com/platform/42/nintendo-3ds/,http://www.vgchartz.com/companies/1567/square-enix/,Role-Playing,Pro,N/A,4
42778,59,Overwatch,XOne,Activision,86156,68,47,http://www.vgchartz.com/game/86156/overwatch/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/47/activision/,Shooter,Pro,N/A,38
42778,60,Rock Band 4,PS4,Harmonix Music Systems,85235,69,7457,http://www.vgchartz.com/game/85235/rock-band-4/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/7457/harmonix-music-systems/,Misc,Pro,N/A,71
42778,61,Minecraft: Xbox 360 Edition,X360,Microsoft Game Studios,51765,7,10313,http://www.vgchartz.com/game/51765/minecraft/,http://www.vgchartz.com/platform/7/xbox-360/,http://www.vgchartz.com/companies/10313/microsoft-game-studios/,Misc,Pro,N/A,193
42778,62,Fire Emblem Fates,3DS,Nintendo,85716,42,1167,http://www.vgchartz.com/game/85716/fire-emblem-fates/,http://www.vgchartz.com/platform/42/nintendo-3ds/,http://www.vgchartz.com/companies/1167/nintendo/,Role-Playing,Pro,N/A,52
42778,63,Grand Theft Auto V,PC,Take-Two Interactive,83197,48,1631,http://www.vgchartz.com/game/83197/grand-theft-auto-v/,http://www.vgchartz.com/platform/48/microsoft-windows/,http://www.vgchartz.com/companies/1631/take-two-interactive/,Action,Pro,N/A,96
42778,64,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,XOne,Namco Bandai Games,154979,68,16527,http://www.vgchartz.com/game/154979/naruto-shippuden-ultimate-ninja-storm-4-road-to-boruto/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/16527/namco-bandai-games/,Fighting,Pro,N/A,2
42778,65,NBA 2K17,PS3,Take-Two Interactive,103821,3,1631,http://www.vgchartz.com/game/103821/nba-2k17/,http://www.vgchartz.com/platform/3/playstation-3/,http://www.vgchartz.com/companies/1631/take-two-interactive/,Sports,Pro,N/A,22
